Group	Draw	Rider	Horse	Classes	Score	Note
Mens	-1	Bub Poplin	Tinkering With Stars	1:G		
Mens	0	Conner David Mckean	Dairy Queen	1:G		
Mens	1	Mack E Weaver	Setting Off Spooks	1:G		
Mens	2	Preston J Kent	Shiner Voodoo Time	1:G		
Mens	3	Bub Poplin	Special Made Sangria	1:G		
Mens	4	Clint J Anderson	Electrician	1:G		
Mens	5	Steve Tyner	Magnums Little Dream	1:G		
Mens	6	Mack E Weaver	Hollywood Fairy Tale	1:G		
Mens	7	Trysten K Paskett	Freeezing Reyn	1:G		
Mens	8	Jeff Wadman	Cromed Out Starlite	1:G		
Mens	9	Preston J Kent	Smart Chic Magnum	1:G		
Mens	10	Bub Poplin	I TInk Ya Trashy	1:G		
Mens	11	Mack E Weaver	Snap n Bend	1:G		
Mens	12	Juston Palmer	HF Team Dream	1:G		
Mens	13	Maxx Gonzalez	Inferno S On Fire	1:G		
Mens	14	Jeff Wadman	Stylish Low Rider	1:G		
Mens	15	Preston J Kent	Lil Pale Face	1:G		
Mens	16	Mack E Weaver	Apollo Icegunya 76	1:G		
Mens	17	Bub Poplin	Shesa Smokin Spark	1:G		
Mens	18	Jeff Wadman	Electric Redneck	1:G		
Mens	19	Trysten K Paskett	SS Ifrubieswereguns	1:G		
Mens	20	Clint J Anderson	$10 Cowboy	1:G		
Mens	21	Mack E Weaver	Platinum Per Se	1:G		
Mens	22	Preston J Kent	Electric Cocktail	1:G		
Mens	23	Bub Poplin	Shinomatic	1:G		
Mens	24	Bruce Selk	Whizful Thinkin	1:G		
Mens	25	Mack E Weaver	Blazed By Magnum	1:G		
Mens	26	Maxx Gonzalez	Va Nilla Icce	1:G		
Mens	27	Juston Palmer	I Am The Boss	1:G		
Mens	28	Mack E Weaver	Make My Dayz	1:G		
Mens	29	Preston J Kent	Gunshine For Chic	1:G		
Mens	30	Bub Poplin	Gunna Have The Dream	1:G		
Mens	31	Edwardo Valdez	Dunitmobsterstyle	1:G		
Mens	32	Clint J Anderson	Aliceinhollywood BB	1:G		
Mens	33	Mack E Weaver	Try N Catch The Mob	1:G		
Mens	34	Trysten K Paskett	Mockingbird	1:G		
Mens	35	Preston J Kent	Einsteins Whiz Kidd	1:G		
Mens	36	Mack E Weaver	Coastnintotinseltown	1:G		
Mens	37	Bub Poplin	Ruf Rider	1:G		
Mens	39	Brilyn Nate Wilson	Nvr Lil Ruf Tinker	1:G		
Mens	40	Maxx Gonzalez	Customized Flinn	1:G		
Mens	41	Preston J Kent	Tine E Dancer	1:G		
Mens	42	Mack E Weaver	Its Vintage Per Se	1:G		
