"Rider","Horse","Apr Place","Apr Score","Apr Points","Jun Place","Jun Score","Jun Points","Jul Place","Jul Score","Jul Points","Sep Place","Sep Score","Sep Points","Total Shows","Total Points","Class"
"Preston J Kent","Einsteins Whiz Kidd","1","72","10","2","73.5","9","","","","","","","2","19","OPEN"
"Bub Poplin","Olenas Gunshot","2","71","9","","","","","","","","","","1","9","OPEN"
"Preston J Kent","Smart Chic Magnum","3","70","7.5","","","","","","","","","","1","7.5","OPEN"
"Preston J Kent","Gotta Get Her Gun","3","70","7.5","","","","","","","","","","1","7.5","OPEN"
"Dan V Myers","Magnums Little Dream","","0","","","","","","","","","","","1","0","OPEN"
"Shannon Brach","HF Chaching Chaching","","0","","","","","","","","","","","1","0","OPEN"
"Shelly A Withers","AJ Moonshine N Juice","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Ivie","Xtra Dr Dun It","","0","","","","","","","","","","","1","0","OPEN"
"Ethan A Willey","Out Late Tonite","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","Roosters Dream Girl","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","A Smokin Star","","0","","","","","","","","","","","1","0","OPEN"
"Caroline Brunson","Blazed By Magnum","","0","","5","72","6","","","","","","","2","6","OPEN"
"Preston J Kent","Sonic Voodoo","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","Lil Josey","","0","","","","","","","","","","","1","0","OPEN"
"Erik Flores","Dunitmobsterstyle","","0","","","","","","","","","","","1","0","OPEN"
"Clint J Anderson","Whiztric","","0","","","","","","","","","","","1","0","OPEN"
"Thomas C Brighton","Tatooedawhizzenchic","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","One Mo Joe","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","LV Hustle N Shine","","0","","","","","","","","","","","1","0","OPEN"
"Nathan Kent","FS Ishine At Nite","","0","","","","","","","","","","","1","0","OPEN"
"Dan V Myers","HF Oakielookinchic","","0","","","","","","","","","","","1","0","OPEN"
"Shannon Brach","Tater","","0","","","","","","","","","","","1","0","OPEN"
"Mack E Weaver","Platinum Per Se","","","","1","74","10","","","","","","","1","10","OPEN"
"Preston J Kent","Shiner Voodoo Time","","","","3","72.5","7.5","","","","","","","1","7.5","OPEN"
"Preston J Kent","Electric Cocktail","","","","6","71.5","5","","","","","","","1","5","OPEN"
"Preston J Kent","Lil Pale Face","","","","7","71","3.5","","","","","","","1","3.5","OPEN"
"Stefaan Bultinck","Shesa Smokin Spark","","","","3","72.5","7.5","","","","","","","1","7.5","OPEN"
